Velocity/(rpm),Current/(A),Current/(A),Current/(A),Angle/(rad),Angle/(rad),Tem/(Nm),Current/(A),Current/(A),Current/(A),Current/(A),Force/(N),Force/(N),Force/(N),Force/(N),Displacement/(um),Displacement/(um),Velocity/(m/s),Velocity/(m/s),Angle/(rad)
96.198875,0.000000,14.890327,0.000000,0.132920,0.132920,0.051895,0.000000,0.000000,0.000000,0.000000,0.003709,0.000000,-0.000822,0.000000,-0.000632,0.000000,-0.000003,0.000000,-0.122173
101.063390,0.000000,15.114508,0.000000,0.133126,0.133126,0.053462,0.000000,0.000000,0.000000,0.000000,0.005999,0.000000,-0.000911,0.000000,-0.000700,0.000000,-0.000004,0.000000,-0.122173
105.917350,0.000000,14.860272,0.000000,0.133343,0.133343,0.051671,0.000000,0.000000,0.000000,0.000000,0.005999,0.000000,-0.001006,0.000000,-0.000774,0.000000,-0.000004,0.000000,-0.122173
110.761097,0.000000,15.084610,0.000000,0.133571,0.133571,0.053235,0.000000,0.000000,0.000000,0.000000,0.005999,0.000000,-0.001108,0.000000,-0.000852,0.000000,-0.000004,0.000000,-0.122173
115.594714,0.000000,14.831679,0.000000,0.133808,0.133808,0.051457,0.000000,0.000000,0.000000,0.000000,0.005999,0.000000,-0.001218,0.000000,-0.000937,0.000000,-0.000004,0.000000,-0.122173
120.478359,0.000000,15.048704,0.000000,0.134055,0.134055,0.052966,0.000000,0.000000,0.000000,0.000000,0.005999,0.000000,-0.001334,0.000000,-0.001027,0.000000,-0.000005,0.000000,-0.122173
125.373506,0.000000,14.905908,0.000000,0.134313,0.134313,0.051957,0.000000,0.000000,0.000000,0.000000,0.008605,0.000000,-0.001459,0.000000,-0.001123,0.000000,-0.000005,0.000000,-0.122173
130.230361,0.000000,15.004939,0.000000,0.134581,0.134581,0.052640,0.000000,0.000000,0.000000,0.000000,0.008605,0.000000,-0.001592,0.000000,-0.001225,0.000000,-0.000005,0.000000,-0.122173
135.095918,0.000000,14.864326,0.000000,0.134859,0.134859,0.051649,0.000000,0.000000,0.000000,0.000000,0.008605,0.000000,-0.001734,0.000000,-0.001334,0.000000,-0.000006,0.000000,-0.122173
139.924440,0.000000,14.964662,0.000000,0.135147,0.135147,0.052339,0.000000,0.000000,0.000000,0.000000,0.008605,0.000000,-0.001884,0.000000,-0.001449,0.000000,-0.000006,0.000000,-0.122173
144.766400,0.000000,15.180128,0.000000,0.135446,0.135446,0.053846,0.000000,0.000000,0.000000,0.000000,0.008605,0.000000,-0.002044,0.000000,-0.001572,0.000000,-0.000006,0.000000,-0.122173
149.652861,0.000000,14.916680,0.000000,0.135754,0.135754,0.051983,0.000000,0.000000,0.000000,0.000000,0.011965,0.000000,-0.002213,0.000000,-0.001702,0.000000,-0.000007,0.000000,-0.122173
154.521038,0.000000,15.126377,0.000000,0.136073,0.136073,0.053443,0.000000,0.000000,0.000000,0.000000,0.011965,0.000000,-0.002393,0.000000,-0.001840,0.000000,-0.000007,0.000000,-0.122173
